Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
DWFl,0E-20,0,7704,117.00000000,81,114.50000000,0E-8,0E-8
DX2Dd,0E-20,0,0,0E-8,35,96.00000000,0E-8,0E-8
DX2Gd,0E-20,0,288,69.43000000,701,69.19000000,0E-8,0E-8
DX2Jd,0E-20,0,317,57.22000000,0,0E-8,0E-8,0E-8
DX2Xd,0E-20,0,507,105.04000000,507,104.96000000,0E-8,0E-8
DXJGl,0E-20,0,0,0E-8,897,1698.50000000,0E-8,0E-8
DXJm,0E-20,0,1014,17.89000000,0,0E-8,0E-8,0E-8
DXS1d,0E-20,0,84,217.90800000,84,213.29000000,0E-8,0E-8
DXS7d,0E-20,0,0,0E-8,30,38.40000000,0E-8,0E-8
DXSAd,0E-20,0,896,20.21500000,305,20.10000000,0E-8,0E-8
DXSMd,0E-20,0,0,0E-8,627,28.74500000,0E-8,0E-8
DXSNd,0E-20,0,687,14.57400000,692,14.46400000,0E-8,0E-8
DXSPd,0E-20,0,1000,8.83500000,1000,8.74000000,0E-8,0E-8
DXSUd,0E-20,0,61,294.95000000,0,0E-8,0E-8,0E-8
DXSZd,0E-20,0,111,164.06600000,111,160.66800000,0E-8,0E-8
E20Yz,0E-20,0,3393,5.39080000,3393,5.35820000,0E-8,0E-8
E50EUm,0E-20,0,318,39.33500000,460,39.26000000,0E-8,0E-8
E50EUz,0E-20,0,635,39.42500000,459,39.25000000,0E-8,0E-8
E50EZz,0E-20,0,318,40.17000000,1189,40.13000000,0E-8,0E-8
EABGl,0E-20,0,788,19.86800000,788,18.94000000,0E-8,0E-8
EAGGp,0E-20,0,0,0E-8,304,58.95700000,0E-8,0E-8
EAGGz,0E-20,0,303,61.13800000,303,60.97200000,0E-8,0E-8
EATl,0E-20,0,0,0E-8,500,100.00000000,0E-8,0E-8
EBBBp,0E-20,0,355,51.18500000,0,0E-8,0E-8,0E-8
EBRTm,0E-20,0,1880,5.58600000,1897,5.53600000,0E-8,0E-8
EBUYl,0E-20,0,0,0E-8,1447,10.54400000,0E-8,0E-8
ECARl,0E-20,0,0,0E-8,2826,7.08000000,0E-8,0E-8
ECBCm,0E-20,0,192,95.70000000,0,0E-8,0E-8,0E-8
ECBDm,0E-20,0,0,0E-8,203,88.11000000,0E-8,0E-8
ECOEAz,0E-20,0,180,101.79500000,180,100.82500000,0E-8,0E-8
ECOPm,0E-20,0,1233,8.51600000,1245,8.44000000,0E-8,0E-8
ECRHx,0E-20,0,1007,2081.00000000,1007,2078.00000000,0E-8,0E-8
ECRP3p,0E-20,0,365,49.68100000,0,0E-8,0E-8,0E-8
ECVd,0E-20,0,0,0E-8,11,16.66000000,0E-8,0E-8
ED4d,0E-20,0,0,0E-8,473,8.14000000,0E-8,0E-8
EDEUd,0E-20,0,0,0E-8,166,108.06000000,0E-8,0E-8
EDG2l,0E-20,0,0,0E-8,3385,4.56000000,0E-8,0E-8
EDMNZx,0E-20,0,508,4.89900000,508,4.88400000,0E-8,0E-8
